#,Name,Price,Area(sqft),Build_Time,Type,Location,Distance_to_MRT,Availability,Beds_num,Baths_num,Is_room,District_id,Longitude,Latitude
131,134 Edgedale Plains,800,160,2003,HDB,134 Edgedale Plains,510,Female only,1,1,Yes,,,
132,517 Woodlands Drive 14,800,150,1998,HDB,517 Woodlands Drive 14,450,Everyone Welcome,1,1,Yes,,,
133,Jansen Road,1800,180,1990,Landed,Jansen Road,1170,Everyone Welcome,1,1,Yes,,,
134,Spacious Common Room,1000,150,2000,HDB,Bukit Panjang,550,Everyone Welcome,1,1,Yes,,,
135,1 or 2 Common Room,1300,200,2005,HDB,Jurong West,790,Everyone Welcome,1,1,Yes,,,
136,Punggol Common Room,750,150,2002,HDB,Punggol,180,Male only,1,1,Yes,,,
137,Large Common Room,900,150,1995,Landed,Chuan Terrace,1380,Everyone Welcome,1,1,Yes,,,
138,4-min Walk to Potong Pasir MRT,1450,100,2010,Apartment,Potong Pasir,310,Everyone Welcome,1,1,Yes,,,
139,Huge Master and Common Room,2200,300,2005,Landed,West Coast,850,Everyone Welcome,1,1,Yes,,,
140,Common Room @ Kovan Landed,850,150,1998,Landed,Kovan,850,Male only,1,1,Yes,,,
141,2 Spacious Fully Furnished Common Bedrooms,1000,150,2000,Landed,Kovan,430,Everyone Welcome,1,1,Yes,,,
142,134 Edgedale Plains,800,160,2003,HDB,134 Edgedale Plains,510,Female only,1,1,Yes,,,
143,517 Woodlands Drive 14,800,150,1998,HDB,517 Woodlands Drive 14,450,Everyone Welcome,1,1,Yes,,,
144,2.5 story bungalow at Jansen Road,14000,9617,-,Landed,Jansen Road,1170,Everyone Welcome,5,5,,,,
145,424D Yishun Avenue 11,3500,900,2015,HDB,"424D Yishun Avenue 11 764424 · Yishun East, North Region",1700,Everyone Welcome,3,2,,,,
146,638 Pasir Ris Drive 1,500,80,-,HDB,638 Pasir Ris Drive 1 510638 · Pasir Ris West (East Region),778,Everyone Welcome,1,0,Yes,,,
147,Waterbay (45A Edgefield Plains),5600,1141,2016,Executive Condo,45A Edgefield Plains 828711 · Punggol Field (North-East Region),261,Partially furnished,4,3,,,,
148,The Raintree (93 Bukit Drive),5600,1302,2008,Condo,93 Bukit Drive 587844 · Nature Reserve (West Region),787,Partially furnished,3,3,,,,
149,Novena Court,1488,100,1970,Apartment,2 Jalan Novena Barat,390,Everyone Welcome,1,0,Yes,,,
150,YewTee Residences,1350,100,2009,Apartment,23 Choa Chu Kang North 6,100,Everyone Welcome,1,0,Yes,,,
151,Euro-Asia Court,1300,100,1994,Apartment,7 River Valley Close,610,Everyone Welcome,1,0,Yes,,,
152,UE Square,1600,100,1997,Apartment,205 River Valley Road,250,Everyone Welcome,1,0,Yes,,,
153,Oxley Garden,1350,100,1986,Apartment,5 Oxley Rise,500,Everyone Welcome,1,0,Yes,,,
154,Paya Lebar Residences,1300,100,2003,Apartment,27 Paya Lebar Road,280,Everyone Welcome,1,0,Yes,,,
155,Sherwood Towers,1200,100,1980,Apartment,1 Jalan Anak Bukit,620,Everyone Welcome,1,0,Yes,,,
156,Birmingham Mansions,1400,100,1998,Apartment,130 Thomson Road,320,Everyone Welcome,1,0,Yes,,,
157,Harbourlights,1350,100,1997,Apartment,68 Telok Blangah Road,350,Everyone Welcome,1,0,Yes,,,
158,Neptune Court,1286,99,1975,Apartment,1 Marine Vista,850,Everyone Welcome,1,0,Yes,,,
159,Burlington Square,1300,90,1998,Apartment,175 Bencoolen St,230,Everyone Welcome,1,0,Yes,,,
160,Nine Residences,1299,90,2017,Apartment,12 Yishun Avenue 9,970,Everyone Welcome,1,0,Yes,,,
161,Short-Term Co-Living,1800,86,-,Apartment,near HarbourFront,60,Everyone Welcome,1,0,Yes,,,
